ID,Language,Subscription Type,Subscription Event Type,Purchase Store, Amount Converted ,Subscription Length,Free Trial User,Web User,Email Subscriber,Push Notifications,Open Count,Click Count
264,FRA,Limited,RENEWAL,App, $-   ,182,0,0,1,1,NULL,NULL
265,FRA,Limited,RENEWAL,App, $-   ,289,1,0,1,1,1,0
266,ALL,Lifetime,INITIAL_PURCHASE,Web, $199.00 ,28802,0,0,1,1,0,0
267,ITA,Limited,INITIAL_PURCHASE,App, $-   ,182,0,0,1,1,0,0
268,RUS,Lifetime,INITIAL_PURCHASE,Web, $256.16 ,28888,0,0,0,1,4,4
269,ENG,Limited,RENEWAL,App, $-   ,350,1,0,0,1,0,0
270,TGL,Lifetime,INITIAL_PURCHASE,App, $-   ,28946,0,0,1,1,0,0
271,ESC,Limited,RENEWAL,App, $-   ,184,0,0,0,1,NULL,NULL
272,ESC,Limited,INITIAL_PURCHASE,Web, $51.23 ,91,0,1,0,1,35,32
273,FRA,Limited,RENEWAL,App, $-   ,547,0,1,1,1,0,0
274,EBR,Limited,RENEWAL,App, $-   ,369,1,0,1,1,0,0
275,ENG,Limited,RENEWAL,Web, $35.97 ,182,0,1,1,1,0,0
276,FRA,Limited,INITIAL_PURCHASE,Web, $10.46 ,731,0,0,0,0,NULL,NULL
277,ITA,Limited,INITIAL_PURCHASE,App, $-   ,91,0,0,0,1,NULL,NULL
278,ESP,Limited,INITIAL_PURCHASE,Web, $207.90 ,366,0,1,1,1,17,9
279,DEU,Limited,INITIAL_PURCHASE,Web, $65.94 ,396,0,0,1,1,3,0
280,ENG,Limited,INITIAL_PURCHASE,App, $-   ,317,0,0,1,1,11,4
281,EBR,Lifetime,INITIAL_PURCHASE,Web, $162.98 ,28952,0,0,0,1,1,1
283,ITA,Limited,INITIAL_PURCHASE,Web, $69.50 ,191,1,1,1,1,0,0
284,FRA,Limited,INITIAL_PURCHASE,Web, $-   ,183,0,1,1,1,2,0
285,ESC,Limited,INITIAL_PURCHASE,Web, $50.05 ,191,1,1,0,1,3,2
286,ESP,Limited,RENEWAL,Web, $35.97 ,458,0,1,1,1,5,0
287,GRK,Limited,INITIAL_PURCHASE,App, $-   ,92,0,0,1,1,0,0
288,POL,Limited,INITIAL_PURCHASE,Web, $21.60 ,92,0,1,0,1,2,1
289,ENG,Limited,INITIAL_PURCHASE,App, $-   ,90,0,0,1,1,NULL,NULL
290,ENG,Limited,RENEWAL,App, $-   ,305,1,1,1,1,0,0
291,ENG,Limited,RENEWAL,App, $-   ,368,1,0,1,1,0,0
292,ENG,Limited,INITIAL_PURCHASE,Web, $35.97 ,92,0,0,1,1,0,0
293,FRA,Lifetime,INITIAL_PURCHASE,Web, $-   ,29082,0,1,1,1,0,0
295,EBR,Limited,INITIAL_PURCHASE,Web, $15.53 ,731,0,1,0,1,0,0
296,POR,Limited,INITIAL_PURCHASE,App, $-   ,366,0,0,1,1,7,5
297,ALL,Lifetime,INITIAL_PURCHASE,Web, $189.00 ,28805,0,1,1,1,15,1
298,ESP,Limited,RENEWAL,App, $-   ,274,0,0,0,1,NULL,NULL
299,ITA,Limited,INITIAL_PURCHASE,Web, $59.51 ,92,0,1,0,1,NULL,NULL
300,FRA,Limited,RENEWAL,App, $-   ,298,0,0,1,1,0,0
301,EBR,Limited,INITIAL_PURCHASE,App, $-   ,295,0,0,0,1,1,0
302,ESP,Limited,INITIAL_PURCHASE,Web, $39.00 ,209,1,1,1,1,0,0
303,JPN,Limited,INITIAL_PURCHASE,Web, $49.02 ,92,0,0,0,0,NULL,NULL
304,RUS,Limited,RENEWAL,Web, $79.00 ,183,0,1,1,1,33,0
305,ESC,Limited,INITIAL_PURCHASE,Web, $-   ,365,0,1,1,1,0,0
306,ESP,Limited,RENEWAL,App, $-   ,343,1,0,1,1,0,0
307,KOR,Limited,RENEWAL,App, $-   ,220,1,1,1,1,NULL,NULL
308,FRA,Limited,RENEWAL,Web, $119.00 ,547,0,1,1,1,2,0
309,ESP,Limited,INITIAL_PURCHASE,App, $-   ,366,0,1,1,1,4,0
310,ESC,Lifetime,INITIAL_PURCHASE,Web, $244.56 ,28950,0,1,0,1,0,0
311,ALL,Lifetime,INITIAL_PURCHASE,Web, $199.00 ,28779,0,0,0,1,NULL,NULL
312,FRA,Limited,INITIAL_PURCHASE,Web, $59.03 ,182,0,1,1,1,3,0
313,CHI,Limited,RENEWAL,App, $-   ,456,0,0,0,1,NULL,NULL
314,EBR,Limited,RENEWAL,App, $-   ,270,1,0,1,1,30,0
315,DEU,Limited,INITIAL_PURCHASE,Web, $-   ,90,0,0,1,1,15,0
316,DEU,Limited,RENEWAL,App, $-   ,310,0,0,0,1,0,0
317,ESP,Limited,RENEWAL,App, $-   ,343,1,0,1,1,2,0
318,ESP,Limited,RENEWAL,App, $-   ,289,1,0,1,1,1,0
319,ENG,Limited,INITIAL_PURCHASE,App, $-   ,91,0,0,1,1,17,14
320,ENG,Limited,INITIAL_PURCHASE,Web, $-   ,188,0,1,1,1,2,0
321,EBR,Limited,INITIAL_PURCHASE,App, $-   ,289,0,0,0,1,0,0
322,ENG,Limited,RENEWAL,App, $-   ,304,0,0,1,1,NULL,NULL
323,JPN,Limited,RENEWAL,App, $-   ,317,1,0,1,1,11,0
324,ESP,Limited,INITIAL_PURCHASE,Web, $65.94 ,184,0,1,0,1,NULL,NULL
325,FRA,Limited,INITIAL_PURCHASE,App, $-   ,218,1,1,1,1,2,0
326,ESP,Limited,RENEWAL,Web, $119.00 ,366,0,0,1,1,1,0
327,CHI,Limited,INITIAL_PURCHASE,Web, $-   ,365,0,1,1,1,NULL,NULL
328,HIN,Limited,INITIAL_PURCHASE,App, $-   ,317,0,0,0,1,11,0
329,ENG,Limited,RENEWAL,App, $-   ,527,1,1,1,1,11,0
330,ENG,Limited,INITIAL_PURCHASE,App, $-   ,402,0,0,1,1,6,5
331,FRA,Limited,INITIAL_PURCHASE,Web, $119.80 ,185,1,1,0,1,2,0
